name,address,date,score,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22
Peggy's Healthy Home Cooking,326 S. Cleveland Memphis. TN 38104,9/15/2020,84,Cutting boards need replacing.,Improper date marking for prepped food.,Need thermometers in refrigerators.,Improper labels on RTE foods.,Food items stored on the floor. Must be stored 6 inches. From floor.,Utensils improperly stored.,Microwave need cleaning. Can opener need cleaning. Grills need cleaning.,Physical not maintained. Floors need repairing in storage room.,,,,,,,,,,,,,,
Las Brasas,3582 Kirby Parkway Memphis. TN 38115,9/15/2020,98,Food in the cooler are not labeled.,Freezer rack is broken,,,,,,,,,,,,,,,,,,,,
Waffle House,7125 Winchester Rd. Memphis. TN 38125,9/15/2020,99,Plates need to be inverted.,,,,,,,,,,,,,,,,,,,,,
New Lin Garden,215 S. Pauline St. Memphis. TN 38104,9/15/2020,99,Floors need cleaning.,,,,,,,,,,,,,,,,,,,,,
Lenny's Sub Shop,80 N. Pauline St. Memphis. TN 38105,9/15/2020,99,Need thermometers in front counter cooler and back prep cooler,,,,,,,,,,,,,,,,,,,,,
Red Lobster,8161 HWY 64 Memphis. TN 38133,9/14/2020,93,Provide soap and towels at all handsinks in kitchen,Provide thermometer inside reach in cooler on cook line,Keep food covered inside reach in coolers on cook line,Keep the to go containers stacked right side down in storage area,Provide hot water at handsink near dish machine,,,,,,,,,,,,,,,,,
Subway,201 Poplar Memphis. TN 38103,9/14/2020,97,Food items store on the floor. Must be stored 6 in from floor.,Improper storing of utensils,Toaster oven need cleaning.,,,,,,,,,,,,,,,,,,,
The Half Shell,7825 Winchester. Suite 122 Memphis. TN 38125,9/14/2020,96,No hair restraint,Scoop handle in dry goods,Improperly stored clean utensils,Improperly stored single service items,,,,,,,,,,,,,,,,,,
Popeye's Louisiana Kitchen,4624 Elvis Presley Blvd. Memphis. TN 38116,9/14/2020,96,Flies observed in walk in freezer,Ice scoop stored on ice machine,Build up on food containers,Inside of microwave dirty,,,,,,,,,,,,,,,,,,
Cedars Restaurant,694 N. Germantown Pkwy Suite 64 Cordova. TN 38018,9/14/2020,94,Rear hand sink is blocked and has no supplies. Keep the sink clear. and the soap and paper towels available.,No visible thermometers in the upright freezer or in the prep coolers. Provide.,Glass coolers have a build-up on the floor. Clean.,The faucet at the 3 compartment sink is leaking. Repair.,,,,,,,,,,,,,,,,,,
Germantown Center Concession,1801 Exeter Germantown. TN 38138,9/14/2020,99,,,,,,,,,,,,,,,,,,,,,,
Jack Pirtles,4349 Elvis Presley Blvd. Memphis. TN 38116,9/14/2020,95,Single use item observed on the floor,Exterior of Drink machine needs cleaning,Walk in freezer floor needs sweeping Ice build up in walk in freezer Vent a hood needs cleaning,Physical facility should be maintained and cleaned Mop sink needs cleaning Floor by fryer not in good repair Walls need cleaning Stained ceiling panels,Vents need cleaning,,,,,,,,,,,,,,,,,
Dyers Hamburgers Of Collierville,101 N. Center St. Collierville. TN 38017,9/14/2020,99,,,,,,,,,,,,,,,,,,,,,,
Southwind Fish,7915 Winchester. STE 101 Memphis. TN 38125-2362,9/14/2020,98,Improperly stored wiping cloths,Leaking faucet at prep sink,,,,,,,,,,,,,,,,,,,,
Starbucks,7945 Winchester. STE 103 Memphis. TN 38125,9/14/2020,96,No hair restraints,Improperly stored wiping cloths,Improperly stored single service items,Loose gasket on refrigerator door,,,,,,,,,,,,,,,,,,
Cracker Barrel,6081 Shelby Oaks Hwy. Memphis. TN 38134,9/14/2020,92,Cookware was observed being held in the handsink.,Unlabeled shakers and bottles near the grill area.,Observed fly in kitchen area,Uncovered coffee filter were observed.,Wet wiping in sanitizer bucket. Sanitizer needed to be change.,Excess water in the bottom of the small coolers in the kitchen area.,,,,,,,,,,,,,,,,
Jr Fish & Chicken,4109 Elvis Presley Blvd. Memphis. TN 38116,9/14/2020,86,14: Pink slim in ice machine,Improper labeling,Food observed uncovered in cooler and deep freezer,Kitchen employee observed with no hair restraint,Wiping cloth observed on hand washing sink,Single use items observed stored on the floor,Coolers need cleaning Ice build up in deep freezer,Bottom of Mr. Pure cooler needs cleaning,53: Floor needs sweeping Ceiling tiles missing. Floor not smooth by ice machine,54: Two lights out under vent a hood,,,,,,,,,,,,
El Porton Mex Bar & Grill,1016 W. Poplar Collierville. TN 38017,9/13/2020,96,Cover all food in freezers and coolers,Ice scoop left in ice,Plates open to contamination,Floors. ceiling. walls damaged,,,,,,,,,,,,,,,,,,
Ichiban Restaurant,265 Market Blvd. Collierville. TN 38017,9/13/2020,97,Equipment has buildup,Ceiling stained. floor tiles stained,,,,,,,,,,,,,,,,,,,,
Exline Best Pizza In Town,3375 Elvis Presley Blvd.  Memphis. TN 38116,9/13/2020,96,Kitchen employees observed with no hair restraint,Single use item observed on the floor,exterior of drink machine needs cleaning,Behind ovens needs sweeping Floor in walk in freezer has crack,,,,,,,,,,,,,,,,,,
Jimmy Johns's,7801 Winchester Rd. Memphis. TN 38125,9/13/2020,96,Uncovered ice bin drive thru,No hair restraints,Improperly stored wiping cloths,Improperly stored ice scoop on ice machine,,,,,,,,,,,,,,,,,,
Kentucky Fried Chicken,3623 Elvis Presley Blvd. Memphis. TN 38116,9/13/2020,94,Ice machine needs cleaning,Floor in walk in freezer has cracked tiles,,,,,,,,,,,,,,,,,,,,
Papa John's Pizza,7948 Winchester RD. Ste. 110 Memphis. TN 38125,9/13/2020,95,Uncovered food in prep cooler,No hair restraint with visors,Improperly stored wiping cloths,Improperly stored single service items,Leaking faucet at 3 compartment sink,,,,,,,,,,,,,,,,,
Bartlett Donuts,2731 Bartlett Blvd. Memphis. TN 38134,9/13/2020,100,,,,,,,,,,,,,,,,,,,,,,
Marco's Pizza,15 N Belvedere Blvd. Memphis. TN 38104,9/13/2020,97,,,,,,,,,,,,,,,,,,,,,,
E's 24-Hour Cafe,1308 Union Ave. Memphis. TN 38104,9/13/2020,90,Improper cold holding on TCS foods.,Need thermometer in back cooler.,Presence of insects,Grills need cleaning. A lot of debris build up. Build up under fry cooker. Ice machine has a leak. Pots and pans has a lot of build up. Chest freezer door needs repairing.,Physical need Need cleaning and maintaining. Floors need cleaning. Some ceiling tiles need cleaning possibly replacing.,,,,,,,,,,,,,,,,,
Tastee Bar-B-Que,1028 E.Brooks Rd. Memphis. TN 38116,9/13/2020,85,Ice machine needs cleaning,Several food items needs date marking,No labeling on food containers,Roaches observed in men restroom,Employee not wearing face mask Employees not wearing hair restraint,Build up on floors and walls,,,,,,,,,,,,,,,,
Church's Fried Chicken,1155 S. Bellevue Memphis. TN 38106,9/13/2020,90,Ice guard needs to be cleaned. Front of ice machine needs to covered asap,Chicken leaking in fridge,Wiping cloths laying around,Scoop in ice machine,Equipment has build up,Floors. walls ceiling damaged,,,,,,,,,,,,,,,,
Subway,2838 Hickory Hill. Ste 3 Memphis. TN 38115,9/13/2020,98,Bread spray is not labeled.,No hair restraint,,,,,,,,,,,,,,,,,,,,
JusWings And More,5973 Knight Arnold Rd. Memphis. TN 38115,9/13/2020,99,No hair restraint and no long nails while handling food.,,,,,,,,,,,,,,,,,,,,,
Cracker Barrel,9649 E. Davies Plantation Rd. Lakeland. TN 38002,9/13/2020,93,Keep the tongs stored out of the hand sink up front,Keep the wet cloths stored in sanitizer water,Keep the coffee tea filters stored in protected covering,Keep the box of to go containers stored off the floor and keep the foil pans and to go stored right side down on cook line,Replace the cutting boards on cook line it has too many grooves,Keep the wet mops stored hanging up when not in use,,,,,,,,,,,,,,,,
Crazy Noodle,2015 Madison Ave. Memphis. TN 38104,9/13/2020,96,Observed flies in food prep area.,Observed food items stored on floor. Note: All food items must be elevated 6 inches off the floor.,Observed an acummulation of food residue on floors and equipment.,,,,,,,,,,,,,,,,,,,
Sonic Drive-In,3804 Summer Ave. Memphis. TN 38122,9/13/2020,94,Unlabeled food containers,Shredded lettuce and tomatoes contaminated by condensation leaking from ceiling,Single service cups stored on dirty surface,Dirty interior of coolers,Dirty and wet floor in women’s restroom,Condensation leak from ceiling. dirty floor,,,,,,,,,,,,,,,,
El Idolo Mexican Grille,2740 Bartlett Rd. Memphis. TN 38134,9/13/2020,92,Unlabeled containers stored in the walk in cooler snd small cooler,Flying were seen in the prep area.,Observed several items stored uncovered,Observed plastic to go trays stored improperly.,Observed small hole in the wall in the women’s restroom,Observed outside dumpster top lid open,Observed the ceiling in the prep area is leaking.,,,,,,,,,,,,,,,
East End Grill,7956 Winchester Memphis. TN 38125,9/13/2020,96,No hair restraints,Improperly stored wiping cloths,Improperly stored clean utensils,Improperly stored single service items,,,,,,,,,,,,,,,,,,
Subway,7825 Winchester. STE 121 Memphis. TN 38125,9/13/2020,97,Uncovered foods,No hair restraints,Improperly stored clean utensils,,,,,,,,,,,,,,,,,,,
Egg King Cafe,4458 Elvis Presley Blvd. Memphis. TN 38116,9/13/2020,92,,,,,,,,,,,,,,,,,,,,,,
Great Wall Restaurant,2838 Hickory Hill Rd. Memphis. TN 38115,9/13/2020,96,Eggs stored above cooked eggrolls.,,,,,,,,,,,,,,,,,,,,,
Applebee's,2114 Union Ave. Memphis. TN 38104,9/13/2020,81,Food is not in good condition,Observed an accumulation os thick & slimy mold around display condiment prep coolers.,Observed flying insects in kitchen.,Observed food items stored on floor.,Observed dirty utensils on the floor.,Food equipment is not in good repair.,Warewashing facility is not maintained. No chemical test strips.,Observed accumulated grease deposits or food debris on the nonfood-contact surfaces of equipment and shelving or fryers. Walls and floors have an accumulation of food residue. The exterior of all refrigerators . prep coolers. and the door of ice machine has a thick buildup.,Toilet facility is not clean and maintained.,Trash throughout parking lot. Observed liquor bottle and broken glass at entrance under bench.,Current permit posted is expired.,,,,,,,,,,,
Huey's,7825 Winchester Ste 101 Memphis. TN 38125,9/13/2020,96,Improperly stored wiping cloths,Improperly stored ice scoop on the side of ice machine,Improperly stored clean utensils,Improperly stored single service Items,,,,,,,,,,,,,,,,,,
The Cupboard,1400 Union Ave. Memphis. TN 38104,9/13/2020,91,Replace cutting board near gill. Ice machine chute need cleaning.,Presence of insects.,Grills and ovens need cleaning. Pots and pans had a lot of build up.,Physical need cleaning in kitchen area. Floors need cleaning. Walls need cleaning.,,,,,,,,,,,,,,,,,,
Smoothies And Fitness,6041 Mt. Moriah Rd. Memphis. TN 38115,9/13/2020,100,,,,,,,,,,,,,,,,,,,,,,
Don Don's Hot Wings Of Bartlett,2741 Bartlett Blvd. Memphis. TN 38134,9/13/2020,93,Handsink inaccessibles in the prep area.,No thermometer in the stand up freezer and stand cooler,Unlabeled container in the stand up cooler.,Small inscets and flies in the kitchen,Wet wiping cloth improperly stored on the prep table.,,,,,,,,,,,,,,,,,
Hook Fish & Chicken,4340 Elvis Presley Blvd. Memphis. TN 38116,9/13/2020,90,Prep cooler not working properly,Flies in food prep area,Food seasoning uncovered in container,Food uncovered inside prep cooler,Cups stored on floor in dining area,Grease build up on equipment ... fryers,Build up around three compartment sink,Worn shelves inside of walk in cooler,Grease build up on vent a hood,Light bulb out inside of women restroom,,,,,,,,,,,,
Little Italy,1495 Union Ave. Memphis. TN 38104,9/13/2020,87,Ice machine need cleaning. Cutting board need replacing.,No date marking system in place.,News thermometer in salad prep cooler nad upright refrigerator.,Improper food labels on RTE foods,Microwave need cleaning. Dough mixer need cleaning.,,,,,,,,,,,,,,,,,
17 Berkshire,2094 Trimble Memphis. TN 38104,9/10/2020,100,,,,,,,,,,,,,,,,,,,,,,
Kings & Queens Dcc,676 Westview Memphis. TN 38116,9/10/2020,100,,,,,,,,,,,,,,,,,,,,,,
Panaderia Monterrey/Kay's Bakery,667 Avon Memphis. TN 38122,9/10/2020,93,Uncovered RTE food,Female employee preparing food without a hair restraint,Clean pans stored upright,Unpainted wooden shelves,Dirty food containers,Hand washing signs not provided inside restrooms,Inoperable coolers. stained ceiling tiles. dirty equipment,,,,,,,,,,,,,,,
Bailey's Executive Catering,813 Ridgelake Blvd. Memphis. TN 38120,9/10/2020,98,Improperly stored clean utensils,Improperly stored single service items,,,,,,,,,,,,,,,,,,,,
El Sabor Latino. LLC,665 Avon Rd. Memphis. TN 38122,9/10/2020,98,,,,,,,,,,,,,,,,,,,,,,
New China,7020 E. Shelby Drive Ste 115 Memphis. TN 38125,9/10/2020,99,,,,,,,,,,,,,,,,,,,,,,
Off The Square Catering,19 S. Florence Memphis. TN 38104,9/10/2020,99,,,,,,,,,,,,,,,,,,,,,,
Blues City Cafe,138 Beale St. Memphis. TN 38103,9/10/2020,96,,,,,,,,,,,,,,,,,,,,,,
Baskin Robbins,85 S. Highland Memphis. TN 38111,9/10/2020,100,,,,,,,,,,,,,,,,,,,,,,
The Peabody - Chez Phillipe,149 Union Ave. Memphis. TN 38103,9/10/2020,97,,,,,,,,,,,,,,,,,,,,,,
Kidazzle Flying Start,3194 Independent Dr. Memphis. TN 38118,9/10/2020,99,,,,,,,,,,,,,,,,,,,,,,
Westy's,346 N. Main St. Memphis. TN 38103,9/9/2020,84,,,,,,,,,,,,,,,,,,,,,,
Kentucky Fried Chicken,2452 Jackson Ave. Memphis. TN 38108,9/9/2020,94,,,,,,,,,,,,,,,,,,,,,,
Red Robin,1231 Germantown N. Pkwy. Cordova. TN 38018,9/9/2020,97,,,,,,,,,,,,,,,,,,,,,,
